# Chinese Sentiment Lexicon for Text Content Security System
# Format: word	polarity	intensity	category
# Generated for Engineering Training Project 3

一流	0.85	1.0	praise
不错	0.35	1.0	joy
不错哦	0.4	1.0	joy
专业	0.55	1.0	joy
专家	0.55	1.0	joy
丰富	0.5	1.0	joy
乐观	0.6	1.0	joy
了不起	0.8	1.0	praise
互助	0.55	1.0	joy
五星	0.7	1.0	praise
享受	0.65	1.0	praise
令人惊叹	0.88	1.0	praise
优势	0.55	1.0	joy
优化	0.4	1.0	joy
优秀	0.85	1.0	praise
优雅	0.75	1.0	praise
体贴	0.65	1.0	praise
便捷	0.55	1.0	joy
值得	0.55	1.0	joy
充实	0.55	1.0	joy
充沛	0.55	1.0	joy
公平	0.55	1.0	joy
公正	0.6	1.0	joy
关怀	0.6	1.0	joy
关爱	0.65	1.0	praise
关键	0.35	1.0	joy
兴奋	0.65	1.0	praise
典范	0.8	1.0	praise
出色	0.8	1.0	praise
创意	0.6	1.0	joy
创新	0.65	1.0	praise
刻苦	0.5	1.0	joy
前途无量	0.75	1.0	praise
努力	0.5	1.0	joy
勇敢	0.65	1.0	praise
勤奋	0.55	1.0	joy
包容	0.55	1.0	joy
华丽	0.7	1.0	praise
卓越	0.9	1.0	praise
厉害	0.75	1.0	praise
友好	0.6	1.0	joy
发展	0.4	1.0	joy
可以	0.15	1.0	sentiment
可口	0.6	1.0	joy
可爱	0.6	1.0	joy
可靠	0.65	1.0	praise
叹为观止	0.9	1.0	praise
合作	0.45	1.0	joy
向上	0.5	1.0	joy
向往	0.6	1.0	joy
吸引	0.45	1.0	joy
呵护	0.65	1.0	praise
和谐	0.6	1.0	joy
善良	0.7	1.0	praise
喜悦	0.75	1.0	praise
喜欢	0.65	1.0	praise
喜爱	0.7	1.0	praise
团结	0.55	1.0	joy
坚定	0.55	1.0	joy
坚强	0.6	1.0	joy
坦率	0.55	1.0	joy
增长	0.4	1.0	joy
壮大	0.55	1.0	joy
壮观	0.8	1.0	praise
大师	0.7	1.0	praise
大有可为	0.65	1.0	praise
夺冠	0.8	1.0	praise
夺魁	0.8	1.0	praise
好吃	0.55	1.0	joy
好玩	0.55	1.0	joy
好用	0.6	1.0	joy
好看	0.55	1.0	joy
好笑	0.45	1.0	joy
好评	0.6	1.0	joy
安全	0.6	1.0	joy
安心	0.55	1.0	joy
完美	0.95	1.0	praise
宏伟	0.8	1.0	praise
实用	0.55	1.0	joy
宽容	0.6	1.0	joy
尊重	0.55	1.0	joy
巨大	0.4	1.0	joy
帅气	0.65	1.0	praise
希望	0.4	1.0	joy
干净	0.45	1.0	joy
干货	0.6	1.0	joy
平等	0.6	1.0	joy
幸福	0.85	1.0	praise
幽默	0.55	1.0	joy
开心	0.65	1.0	praise
引人入胜	0.75	1.0	praise
强	0.6	1.0	joy
强大	0.65	1.0	praise
强烈推荐	0.85	1.0	praise
得意	0.5	1.0	joy
微笑	0.5	1.0	joy
快乐	0.7	1.0	praise
快速	0.5	1.0	joy
恭喜	0.6	1.0	joy
惊艳	0.85	1.0	praise
惬意	0.65	1.0	praise
愉快	0.65	1.0	praise
感人	0.75	1.0	praise
感动	0.75	1.0	praise
感恩	0.65	1.0	praise
感激	0.65	1.0	praise
感谢	0.55	1.0	joy
愿景	0.45	1.0	joy
憧憬	0.65	1.0	praise
成功	0.7	1.0	praise
成就	0.7	1.0	praise
成果	0.55	1.0	joy
扣人心弦	0.75	1.0	praise
拼搏	0.55	1.0	joy
振奋	0.7	1.0	praise
挺好	0.4	1.0	joy
推荐	0.6	1.0	joy
提升	0.45	1.0	joy
支持	0.5	1.0	joy
收获	0.55	1.0	joy
改善	0.4	1.0	joy
放心	0.6	1.0	joy
放松	0.5	1.0	joy
敏锐	0.55	1.0	joy
新颖	0.55	1.0	joy
新鲜	0.45	1.0	joy
方便	0.55	1.0	joy
明亮	0.5	1.0	joy
明朗	0.55	1.0	joy
智慧	0.7	1.0	praise
暖心	0.7	1.0	praise
有意思	0.5	1.0	joy
有趣	0.55	1.0	joy
期待	0.5	1.0	joy
期望	0.35	1.0	joy
未来可期	0.7	1.0	praise
机智	0.6	1.0	joy
杰出	0.9	1.0	praise
果断	0.5	1.0	joy
标杆	0.8	1.0	praise
梦想	0.55	1.0	joy
棒	0.7	1.0	praise
榜样	0.75	1.0	praise
欢乐	0.7	1.0	praise
欢喜	0.7	1.0	praise
欢欣	0.7	1.0	praise
欢笑	0.65	1.0	praise
欣喜	0.75	1.0	praise
欣慰	0.65	1.0	praise
欣赏	0.65	1.0	praise
正义	0.7	1.0	praise
正直	0.65	1.0	praise
治愈	0.75	1.0	praise
流畅	0.6	1.0	joy
深入	0.45	1.0	joy
深刻	0.5	1.0	joy
清晰	0.45	1.0	joy
清爽	0.5	1.0	joy
清醒	0.45	1.0	joy
温暖	0.7	1.0	praise
